model,test_type,trials,successes,rate,ci_lower,ci_upper,verdict
alibaba/tongyi-deepresearch-30b-a3b:free,extended,10,5,0.50,0.24,0.76,UNRELIABLE
amazon/nova-2-lite-v1:free,triage,3,2,0.67,0.21,0.94,PARTIAL
arcee-ai/trinity-mini:free,extended,10,3,0.30,0.11,0.60,UNRELIABLE
google/gemini-2.0-flash-exp:free,triage,3,0,0.00,0.00,0.56,BROKEN
google/gemini-2.5-flash-lite-preview-09-2025:free,triage,3,0,0.00,0.00,0.56,BROKEN
google/gemma-3-27b-it:free,triage,3,0,0.00,0.00,0.56,BROKEN
kwaipilot/kat-coder-pro:free,extended,10,10,1.00,0.72,1.00,PRODUCTION_READY
meituan/longcat-flash-chat:free,extended,10,2,0.20,0.06,0.51,UNRELIABLE
meta-llama/llama-3.3-70b-instruct:free,extended,10,0,0.00,0.00,0.28,BROKEN
meta-llama/llama-4-maverick:free,triage,3,0,0.00,0.00,0.56,BROKEN
microsoft/mai-ds-r1:free,triage,3,0,0.00,0.00,0.56,BROKEN
mistralai/mistral-small-3.1-24b-instruct:free,triage,3,0,0.00,0.00,0.56,BROKEN
nousresearch/deephermes-3-llama-3-8b-preview:free,triage,3,0,0.00,0.00,0.56,BROKEN
nvidia/nemotron-nano-12b-v2-vl:free,triage,3,2,0.67,0.21,0.94,PARTIAL
nvidia/nemotron-nano-9b-v2:free,extended,10,6,0.60,0.31,0.83,UNRELIABLE
openai/gpt-oss-20b:free,extended,10,2,0.20,0.06,0.51,UNRELIABLE
qwen/qwen3-14b:free,triage,3,0,0.00,0.00,0.56,BROKEN
qwen/qwen3-235b-a22b:free,triage,3,0,0.00,0.00,0.56,BROKEN
qwen/qwen3-30b-a3b:free,triage,3,0,0.00,0.00,0.56,BROKEN
qwen/qwen3-32b:free,triage,3,0,0.00,0.00,0.56,BROKEN
qwen/qwen3-4b:free,triage,3,0,0.00,0.00,0.56,BROKEN
qwen/qwen3-coder:free,triage,3,0,0.00,0.00,0.56,BROKEN
tngtech/tng-r1t-chimera:free,extended,10,2,0.20,0.06,0.51,UNRELIABLE
x-ai/grok-4.1-fast:free,extended,10,10,1.00,0.72,1.00,PRODUCTION_READY
z-ai/glm-4.5-air:free,extended,10,2,0.20,0.06,0.51,UNRELIABLE
